review,sentiment,processed_review,token_count,original_word_count
"I really liked this Summerslam due to the look of the arena, the curtains and just the look overall was interesting to me for some reason. Anyways, this could have been one of the best Summerslam's ever if the WWF didn't have Lex Luger in the main event against Yokozuna, now for it's time it was ok to have a huge fat man vs a strong man but I'm glad times have changed. It was a terrible main event just like every match Luger is in is terrible. Other matches on the card were Razor Ramon vs Ted Dibiase, Steiner Brothers vs Heavenly Bodies, Shawn Michaels vs Curt Hening, this was the event where Shawn named his big monster of a body guard Diesel, IRS vs 1-2-3 Kid, Bret Hart first takes on Doink then takes on Jerry Lawler and stuff with the Harts and Lawler was always very interesting, then Ludvig Borga destroyed Marty Jannetty, Undertaker took on Giant Gonzalez in another terrible match, The Smoking Gunns and Tatanka took on Bam Bam Bigelow and the Headshrinkers, and Yokozuna defended the world title against Lex Luger this match was boring and it has a terrible ending. However it deserves 8/10",positive,really liked summerslam due look arena curtains look overall interesting reason anyways could one best summerslam ever wwf lex luger main event yokozuna time huge fat man strong man glad times changed terrible main event like every match luger terrible matches card razor ramon ted dibiase steiner brothers heavenly bodies shawn michaels curt hening event shawn named big monster body guard diesel irs kid bret hart first takes doink takes jerry lawler stuff harts lawler always interesting ludvig borga destroyed marty jannetty undertaker took giant gonzalez another terrible match smoking gunns tatanka took bam bam bigelow headshrinkers yokozuna defended world title lex luger match boring terrible ending however deserves,109,201
"Not many television shows appeal to quite as many different kinds of fans like Farscape does...I know youngsters and 30/40+ years old;fans both Male and Female in as many different countries as you can think of that just adore this T.V miniseries. It has elements that can be found in almost every other show on T.V, character driven drama that could be from an Australian soap opera; yet in the same episode it has science fact & fiction that would give even the hardiest ""Trekkie"" a run for his money in the brainbender stakes! Wormhole theory, Time Travel in true equational form...Magnificent. It embraces cultures from all over the map as the possibilities are endless having multiple stars and therefore thousands of planets to choose from.<br /><br />With such a broad scope; it would be expected that nothing would be able to keep up the illusion for long, but here is where ""Farscape"" really comes into it's own element...It succeeds where all others have failed, especially the likes of Star Trek (a universe with practically zero Kaos element!) They ran out of ideas pretty quickly + kept rehashing them! Over the course of 4 seasons they manage to keep the audience's attention using good continuity and constant character evolution with multiple threads to every episode with unique personal touches to camera that are specific to certain character groups within the whole. This structure allows for an extremely large area of subject matter as loyalties are forged and broken in many ways on many many issues. I happened to see the pilot (Premiere) in passing and just had to keep tuning in after that to see if Crichton would ever ""Get the girl"", after seeing them all on television I was delighted to see them available on DVD & I have to admit that it was the only thing that kept me sane whilst I had to do a 12 hour night shift and developed chronic insomnia...Farscape was the only thing to get me through those extremely long nights...<br /><br />Do yourself a favour; Watch the pilot and see what I mean...<br /><br />Farscape Comet",positive,many television shows appeal quite many different kinds fans like farscape know youngsters years old fans male female many different countries think adore miniseries elements found almost every show character driven drama could australian soap opera yet episode science fact fiction would give even hardiest trekkie run money brainbender stakes wormhole theory time travel true equational form magnificent embraces cultures map possibilities endless multiple stars therefore thousands planets choose broad scope would expected nothing would able keep illusion long farscape really comes element succeeds others failed especially likes star trek universe practically zero kaos element ran ideas pretty quickly kept rehashing course seasons manage keep audience attention using good continuity constant character evolution multiple threads every episode unique personal touches camera specific certain character groups within whole structure allows extremely large area subject matter loyalties forged broken many ways many many issues happened see pilot premiere passing keep tuning see crichton would ever get girl seeing television delighted see available dvd admit thing kept sane whilst hour night shift developed chronic insomnia farscape thing get extremely long nights favour watch pilot see mean farscape comet,185,354
"The film quickly gets to a major chase scene with ever increasing destruction. The first really bad thing is the guy hijacking Steven Seagal would have been beaten to pulp by Seagal's driving, but that probably would have ended the whole premise for the movie.<br /><br />It seems like they decided to make all kinds of changes in the movie plot, so just plan to enjoy the action, and do not expect a coherent plot. Turn any sense of logic you may have, it will reduce your chance of getting a headache.<br /><br />I does give me some hope that Steven Seagal is trying to move back towards the type of characters he portrayed in his more popular movies.",negative,film quickly gets major chase scene ever increasing destruction first really bad thing guy hijacking steven seagal would beaten pulp seagal driving probably would ended whole premise seems like decided make kinds changes movie plot plan enjoy action expect coherent plot turn sense logic may reduce chance getting give hope steven seagal trying move back towards type characters portrayed popular movies,61,119
"Jane Austen would definitely approve of this one!<br /><br />Gwyneth Paltrow does an awesome job capturing the attitude of Emma. She is funny without being excessively silly, yet elegant. She puts on a very convincing British accent (not being British myself, maybe I'm not the best judge, but she fooled me...she was also excellent in ""Sliding Doors""...I sometimes forget she's American ~!). <br /><br />Also brilliant are Jeremy Northam and Sophie Thompson and Phyllida Law (Emma Thompson's sister and mother) as the Bates women. They nearly steal the show...and Ms. Law doesn't even have any lines!<br /><br />Highly recommended.",positive,jane austen would definitely approve one gwyneth paltrow awesome job capturing attitude emma funny without excessively silly yet elegant puts convincing british accent british maybe best judge fooled also excellent sliding doors sometimes forget american also brilliant jeremy northam sophie thompson phyllida law emma thompson sister mother bates women nearly steal show law even lines highly recommended,57,99
"Expectations were somewhat high for me when I went to see this movie, after all I thought Steve Carell could do no wrong coming off of great movies like Anchorman, The 40 Year-Old Virgin, and Little Miss Sunshine. Boy, was I wrong.<br /><br />I'll start with what is right with this movie: at certain points Steve Carell is allowed to be Steve Carell. There are a handful of moments in the film that made me laugh, and it's due almost entirely to him being given the wiggle-room to do his thing. He's an undoubtedly talented individual, and it's a shame that he signed on to what turned out to be, in my opinion, a total train-wreck.<br /><br />With that out of the way, I'll discuss what went horrifyingly wrong.<br /><br />The film begins with Dan Burns, a widower with three girls who is being considered for a nationally syndicated advice column. He prepares his girls for a family reunion, where his extended relatives gather for some time with each other.<br /><br />The family is high atop the list of things that make this an awful movie. No family behaves like this. It's almost as if they've been transported from Pleasantville or Leave it to Beaver. They are a caricature of what we think a family is when we're 7. It reaches the point where they become obnoxious and simply frustrating. Touch football, crossword puzzle competitions, family bowling, and talent shows ARE NOT HOW ACTUAL PEOPLE BEHAVE. It's almost sickening.<br /><br />Another big flaw is the woman Carell is supposed to be falling for. Observing her in her first scene with Steve Carell is like watching a stroke victim trying to be rehabilitated. What I imagine is supposed to be unique and original in this woman comes off as mildly retarded.<br /><br />It makes me think that this movie is taking place on another planet. I left the theater wondering what I just saw. After thinking further, I don't think it was much.",negative,expectations somewhat high went see movie thought steve carell could wrong coming great movies like anchorman virgin little miss sunshine boy start right movie certain points steve carell allowed steve carell handful moments film made laugh due almost entirely given thing undoubtedly talented individual shame signed turned opinion total way discuss went horrifyingly film begins dan burns widower three girls considered nationally syndicated advice column prepares girls family reunion extended relatives gather time family high atop list things make awful movie family behaves like almost transported pleasantville leave beaver caricature think family reaches point become obnoxious simply frustrating touch football crossword puzzle competitions family bowling talent shows actual people behave almost big flaw woman carell supposed falling observing first scene steve carell like watching stroke victim trying rehabilitated imagine supposed unique original woman comes mildly makes think movie taking place another planet left theater wondering saw thinking think much,149,332
"I've watched this movie on a fairly regular basis for most of my life, and it never gets old. For all the snide remarks and insults (mostly from David Spade), ""Tommy Boy"" has a giant heart. And that's what keeps this movie funny after all these years.<br /><br />Tommy Callahan (Chris Farley) is the son of Big Tom Callahan (Brian Dennehy), master car parts salesman, and has ridden on that all his life. But after his died dies on his wedding day, Tommy learns that the company is in debt, and about to be bought by Ray Zalinsky (Dan Akroyd), the owner of a huge car parts company. So in order to save the company, Tommy has to go on the road to sell the company's new brake pads. Along for the ride, though not by choice, is Richard Hayden (David Spade) a former classmate of Tommy's who was Big Tom's right-hand man.<br /><br />The movie rides on the chemistry between the two SNL stars (and real-life best friends) Chris Farley and David Spade. The duo has enough comic energy going between them to power the world. It's the big, dumb guy versus the smart little guy. It works, and some of their scenes are unforgettably funny. Farley and Spade are actually decent dramatic actors as well. Although the film is primarily a comedy, it has its fair share of drama, but Spade and especially Farley are just as good there as when they're making the audience laugh.<br /><br />Forgive me, but I have to talk about Chris Farley a little more. I read his biography (""The Chris Farley Show: A Biography in Three Acts,"" for anyone who cares), and understanding who Chris was in real life made this movie more special to me. Chris Farley was a genuinely good person who struggled, and ultimately failed to conquer his addictions. Although this was the first movie he had a major role in, it is his best film. It really showed who he was, and just how much talent he had. Knowing Chris's story adds another layer to this movie, although it doesn't make it any less funny.<br /><br />Farley and Spade are matched with a good on screen cast. Rob Lowe is suitably slimy as Tommy's ""new brother,"" and Bo Derek is solid as his step-mother. Brian Dennehy is great as Big Tom. Dennehy makes it easy to believe that they're father in son. Big Tom is just as crazy as his son, although he's smarter and more mature. Dan Akroyd gives one of his best performances as Zalinsky, giving Tommy the hard truth behind advertising. Julie Warner is also good as Tommy's love interest, Michelle.<br /><br />For me, Peter Segal is one of the great comedy directors. He keeps the pace quick and energetic, but most importantly, he knows how to make comedy funny. He doesn't belabor the jokes, and he understands that funny actors know what they're doing and he allows them to do it. But Segal goes a step further. He gives ""Tommy Boy"" a friendly, almost nostalgic tone that both tugs the heartstrings (genuinely) and tickles the funnybone.<br /><br />Critics didn't like ""Tommy Boy."" Shame on them. A movie doesn't have to be super sophisticated or subversively intellectual to be funny (God forbid Farley and Spade were forced to do muted comedy a la ""The Office""). This is a great movie and one of my all-time favorites.",positive,watched movie fairly regular basis life never gets old snide remarks insults mostly david spade tommy boy giant heart keeps movie funny callahan chris farley son big tom callahan brian dennehy master car parts salesman ridden life died dies wedding day tommy learns company debt bought ray zalinsky dan akroyd owner huge car parts company order save company tommy road sell company new brake pads along ride though choice richard hayden david spade former classmate tommy big tom movie rides chemistry two snl stars best friends chris farley david spade duo enough comic energy going power world big dumb guy versus smart little guy works scenes unforgettably funny farley spade actually decent dramatic actors well although film primarily comedy fair share drama spade especially farley good making audience talk chris farley little read biography chris farley show biography three acts anyone cares understanding chris real life made movie special chris farley genuinely good person struggled ultimately failed conquer addictions although first movie major role best film really showed much talent knowing chris story adds another layer movie although make less spade matched good screen cast rob lowe suitably slimy tommy new brother derek solid brian dennehy great big tom dennehy makes easy believe father son big tom crazy son although smarter mature dan akroyd gives one best performances zalinsky giving tommy hard truth behind advertising julie warner also good tommy love interest peter segal one great comedy directors keeps pace quick energetic importantly knows make comedy funny belabor jokes understands funny actors know allows segal goes step gives tommy boy friendly almost nostalgic tone tugs heartstrings genuinely tickles like tommy boy shame movie super sophisticated subversively intellectual funny god forbid farley spade forced muted comedy office great movie one favorites,290,571
"For once a story of hope highlighted over the tragic reality our youth face. Favela Rising draws one into a scary, unsafe and unfair world and shows through beautiful color and moving music how one man and his dedicated friends choose not to accept that world and change it through action and art. An entertaining, interesting, emotional, aesthetically beautiful film. I showed this film to numerous high school students as well who all live in neighborhoods with poverty and and gun violence and they were enamored with Anderson, the protagonist. I recommend this film to all ages over 13 (due to subtitles and some images of death) from all backgrounds.",positive,story hope highlighted tragic reality youth face favela rising draws one scary unsafe unfair world shows beautiful color moving music one man dedicated friends choose accept world change action art entertaining interesting emotional aesthetically beautiful film showed film numerous high school students well live neighborhoods poverty gun violence enamored anderson protagonist recommend film ages due subtitles images death backgrounds,59,110
"Okay, I didn't get the Purgatory thing the first time I watched this episode. It seemed like something significant was going on that I couldn't put my finger on. This time those Costa Mesa fires on TV really caught my attention- and it helped that I was just writing an essay on Inferno! But let me see what HASN'T been discussed yet...<br /><br />A TWOP review mentioned that Tony had 7 flights of stairs to go down because of the broken elevator. Yeah, 7 is a significant number for lots of reasons, especially religious, but here's one more for ya. On a hunch I consulted wikipedia, and guess what Dante divided into 7 levels? Purgatorio. Excluding ante-Purgatory and Paradise. (The stuff at the bottom of the stairs and... what Tony can't get to.) <br /><br />On to the allegedly ""random"" monk-slap scene. As soon as the monks appeared, it fit perfectly in place with Tony trying to get out of Purgatory. You can tell he got worried when that Christian commercial (death, disease, and sin) came on, and he's getting more and more desperate because Christian heaven is looking kinda iffy for him. By the time he meets the monks he's thinking ""hey maybe these guys can help me?"" which sounds like contemplating other religions (e.g. Buddhism) and wondering if some other path could take him to ""salvation"". Not that Tony is necessarily literally thinking about becoming a Buddhist, but it appears Finnerty tried that (and messed up). That slap in the face basically tells Tony there's no quick fix- as in, no, you can't suddenly embrace Buddhism and get out of here. <br /><br />Tony was initially not too concerned about getting to heaven. But at the ""conference entrance"", he realizes that's not going to be so easy for him. At first I saw the name vs. driver's license problem as Tony having led sort of a double life, what with the killing people and sleeping around that he kept secret from most people. He feels free to have an affair with quasi-Melfi because ""he's Kevin Finnerty"". He figures out that he CAN fool some people with KF's cards, like hotel receptionists, but it won't get him out of Purgatory. Those helicopters- the helicopters of Heaven?- are keeping track of him and everything he does.<br /><br />After reading all the theories on ""inFinnerty"", though, it seems like KF's identity is a reminder of the infinite different paths Tony could've taken in his life. Possibly along with the car joke involving Infiniti's that made no sense to me otherwise. Aaaand at that point my brain fizzles out.",positive,okay get purgatory thing first time watched episode seemed like something significant going could put finger time costa mesa fires really caught helped writing essay inferno let see discussed yet twop review mentioned tony flights stairs broken elevator yeah significant number lots reasons especially religious one hunch consulted wikipedia guess dante divided levels purgatorio excluding paradise stuff bottom stairs tony get allegedly random scene soon monks appeared fit perfectly place tony trying get purgatory tell got worried christian commercial death disease sin came getting desperate christian heaven looking kinda iffy time meets monks thinking hey maybe guys help sounds like contemplating religions buddhism wondering path could take salvation tony necessarily literally thinking becoming buddhist appears finnerty tried messed slap face basically tells tony quick suddenly embrace buddhism get tony initially concerned getting heaven conference entrance realizes going easy first saw name driver license problem tony led sort double life killing people sleeping around kept secret people feels free affair kevin finnerty figures fool people cards like hotel receptionists get purgatory helicopters heaven keeping track everything reading theories infinnerty though seems like identity reminder infinite different paths tony could taken life possibly along car joke involving infiniti made sense otherwise aaaand point brain fizzles,203,437
"I was very disappointed with this series. It had lots of cool graphics and that's about it. The level of detail it went into was minimal, and I always got the feeling the audience was being patronized -- there was a lot of what seemed to me as ""This is extremely cool but we're not going to explain it in further detail because you won't get it anyway. Let's just show you some pretty pictures to entertain you."" The host would drop interesting-sounding words such as ""sparticles"" and ""super-symmetry"" without any attempt at explaining what it was. We had to look it up on Wikipedia.<br /><br />Furthermore, I know quite a bit about superstrings (for a layman) and I found their explanations were convoluted and could have been so much better. They could have chosen MUCH better examples to explain concepts, but instead, the examples they used were confusing and further obscured the subject.<br /><br />Additionally, I got so sick of the repetitiveness. They could easily have condensed the series into one episode if they had cut out all the repetition. They must have shown the clips of the Quantum Café about 8 times. The host kept saying the same things over and over and over again. I can't remember how many times he said ""The universe is made out of tiny little vibrating strings."" It's like they were trying to brainwash us into just accepting ""superstrings are the best thing since sliced bread.""<br /><br />Finally, the show ended off with an unpleasant sense of a ""competition"" between Fermilab and CERN, clearly biased towards Fermilab. This is supposed to be an educational program about quantum physics, not about whether the US is better than Europe or vice versa! I also felt that was part of the patronizing -- ""Audiences need to see some conflict to remain interested."" Please. Give me a little more credit than that.<br /><br />Overall, 2 thumbs down :-(",negative,disappointed series lots cool graphics level detail went minimal always got feeling audience patronized lot seemed extremely cool going explain detail get anyway let show pretty pictures entertain host would drop words sparticles without attempt explaining look know quite bit superstrings layman found explanations convoluted could much better could chosen much better examples explain concepts instead examples used confusing obscured got sick repetitiveness could easily condensed series one episode cut repetition must shown clips quantum café times host kept saying things remember many times said universe made tiny little vibrating strings like trying brainwash accepting superstrings best thing since sliced bread finally show ended unpleasant sense competition fermilab cern clearly biased towards fermilab supposed educational program quantum physics whether better europe vice versa also felt part patronizing audiences need see conflict remain interested please give little credit thumbs,138,322
"The first 30 minutes of Tinseltown had my finger teetering on the remote, poised to flick around to watch something else. The premise of two writers, down on their luck, living in a self-storage-space ""bin"" was mildly amusing, but, painfully bland.<br /><br />The introduction of the character, played by Joe Pantoliano - the big deal movie guy, that lives in the park and sleeps in a lavatory, offered hope and I decided to give it a few more minutes. And then a few more until Kristy Swansons introduction as a budding film director & borderline nymphomaniac, added a bit of spice. Her solid acting performance raised her presence above and beyond just a very welcome eye-candy inclusion.<br /><br />Ultimately, the obvious low-budget impacts on the film with poorly shot scenes, stuttured pace and slapstick handling of certain moments. Some of my favourite movies of all time have been low budget, Whithnail & I being one that also deals with 2 guys with a dream, but down on their luck.<br /><br />However, for my money, the actors save Tinseltown from the ""Terrible movie"" archives and just about nudges it into the ""could have been a cult movie"" archives. I laughed out loud at some of the scenes involving Joe Pantoliano's character. In particular, the penultimate scenes in the terribly clichéd, but still funny, rich-but-screwed-up characters house, where the story unravels towards it's final moments.<br /><br />I can see how Tinseltown was a great stage play and while the film-makers did their best to translate this to celluloid, it simply didn't work and while I laughed out loud at some of scenes and one liners, I think the first 30 minutes dulled my senses and expectations to such a degree I would have laughed at anything.<br /><br />Unless you're stuck for a novelty coffee coaster, don't pick this up if you see it in a bargain bucket.",negative,first minutes tinseltown finger teetering remote poised flick around watch something else premise two writers luck living bin mildly amusing painfully introduction character played joe pantoliano big deal movie guy lives park sleeps lavatory offered hope decided give minutes kristy swansons introduction budding film director borderline nymphomaniac added bit spice solid acting performance raised presence beyond welcome obvious impacts film poorly shot scenes stuttured pace slapstick handling certain moments favourite movies time low budget whithnail one also deals guys dream money actors save tinseltown terrible movie archives nudges could cult movie archives laughed loud scenes involving joe pantoliano character particular penultimate scenes terribly clichéd still funny characters house story unravels towards final see tinseltown great stage play best translate celluloid simply work laughed loud scenes one liners think first minutes dulled senses expectations degree would laughed stuck novelty coffee coaster pick see bargain bucket,144,315
